path,bytes,sha256,baseline_status
docs/map/CLAUDE.md,854,74f16670292bb58412afbf68597dd533c980fc1f7e30b8e068ee4965199a1b5e,new
docs/map/CONTEXT.md,644,559762c61a112f70a5a7ae4348ef1a3c3745d8b6220559867af95228c965ea4a,new
docs/map/_meta/schema.md,467,071124a1a1bb2293131ab9ab36a59647a30d63733cda7e4df443db50e78c0b93,new
docs/map/_templates/object.md,399,2cb183208bc47a8447de19397b12cee3e477ca710dfdfc791e00101bad2b7c76,new
docs/map/_templates/process.md,345,e3a668afb8f0d7965440d7ff79f5bc4dea64522a2bb619235e411a6ed3bbe1df,new
docs/map/effects/CONTEXT.md,963,c944ea385a86b169e5fb3f2736c02345915691121ae1a6fd74f6709b681df81e,new
docs/map/objects/CONTEXT.md,394,e3c30d59000515db144f806008e39ef0fa9ab585cfcc860a965fadb54f5b37d9,new
docs/map/objects/_index.md,356,b5f4cff894875b355b560431c14f3959f953903ce8a4ab652fa58162ff76e8bd,new
docs/map/objects/account-catalog/account-catalog.md,1390,c5cb58f4b351394dcafef2f3043db5b50089c99aa34382152c4d1ab53d00c847,new
docs/map/objects/classic-skins/classic-skins.md,1338,64c8e806aadfdb61f3c6ff85ad7ee999fd8800d9583d241baad62df5adf3cb93,new
docs/map/objects/default-ui/default-ui.md,1163,7af5e9ff073c4238ed50300049641130b9391bc5d9d3e0b313ff0ae95b59635c,new
docs/map/objects/playback/playback.md,1446,ab88119bbe4397ccce237be323ed119ff61ca8ed42cdaa6951a9dedb02e6cc8f,new
docs/map/processes/home-loading.md,1120,0ebb3d4ebd7f04b685accd83711e1d20eca917ac62aec5c2c78dc8ef66f6a4ec,new
docs/map/processes/playback.md,1059,5363fe1d84292d72fffc2d60589456c6cde8235c489bf0c757369c1d76612f68,new
docs/map/processes/sign-in.md,1013,fee787e6abbcfbca0ba420bea6c760311410cb8a47bbe1d2f72cd5c91d6259af,new
docs/map/processes/skin-loading.md,985,06767d486b917f80de7ebdfda9f351a42de334eccf7e62006942cd876d5421fa,new
docs/map/routing.md,854,74f16670292bb58412afbf68597dd533c980fc1f7e30b8e068ee4965199a1b5e,new
docs/plans/browse-and-autoplay.md,6595,0082c63191124519be3bf951829def914b39a50eb0bedb0c014aa7acce1f7a21,unchanged
docs/plans/library-actions.md,4014,6542e597c62b0f9583ba5d317d7a2a3cff661ad804dc683e1298a9dfdf25254a,unchanged
docs/plans/refactor-2026-09-09.md,14362,c8ac53da2d3ed4d3c60719262bf900ff95fd09c0b187e21950622fc97af18c81,edited
docs/plans/refactor-inventory-2026-09-09.csv,54985,2db6a90f72eb334a5578d08b3a3ed805cca712c3d8795b875bdc3d8ab2bf0a28,edited
docs/plans/streaming-start.md,7557,6cfbdae1b18ab0d31cdc0d00fbbf1823db35a75a46e20d3211ea86c4a6ebe8a3,unchanged
docs/plans/winamp-skins.md,6443,c504cb742292a5bcdeaa8867dc29e928ca59bd113ae64e1f787f46da6e03e87f,unchanged
examples/audit_probe.rs,10892,5751f590e77e511737971586a529aaf9c206717f70f78445394148f9331338d1,unchanged
examples/auth_probe.rs,3012,344a04844ba3aa9591a9d794bfbad28ed56a3c74246b2f8ee2192fefab80371c,unchanged
examples/browse_probe.rs,2601,944a041434c96b81f6342810002d722acd933114c7bea9496461017acb0c1e87,unchanged
examples/chain_probe.rs,911,402f35781cc7ff12a317bf4d377866e0e600c22532d26749c38374e6cb299855,unchanged
examples/cover_probe.rs,1647,b8825cefc599395895f85ae99bdb97a0ee9b1b4d1bfe1d21cd5ac6ccb0ceeaca,unchanged
examples/default_skin.rs,37613,8efaf8186d870bc2b41653435cdea47a12a709f7bfec316307a3ddd9e08a8a0b,unchanged
examples/discovery_integration_probe.rs,3772,0933f5b3006330c2527ad727783f4db27f52f031245bc1af8f142aa30f5d3090,unchanged
examples/discovery_preview.rs,2510,42d5b9dba103119bb445c9447596aea9ed2b3b82367630e29ab3bc55f8018c29,unchanged
examples/library_dump.rs,1632,50133b833cabc3bb4660ac70c3d99804666bbf695175ff63437da155db3e0676,unchanged
examples/lyrics_probe.rs,980,0774f0ff155416c944aa1b3a5ba1f9cdaf98ee3aa01ecf3e5fb91f0fccbcd006,unchanged
examples/oauth_discovery_probe.rs,10345,91addd5fc9fa9127d5ce41d1e921e9e7e5935fbe27b95060139a93f43ae4c7b4,edited
examples/oauth_history_probe.rs,5347,ad736da437c2c6a51fa592fca54794643356a2ca048fa894f9a146c36fd27577,edited
examples/oauth_probe.rs,2736,4936a60fda464d73fd373b296530732219a3c5cfc6401fc475553da266b65dc5,unchanged
examples/probe_support/mod.rs,1419,717bdd6cbfacf99dfc39112694dad716d29e4c8edc06173ceaae26183eeb9121,new
examples/search_dump.rs,2706,f7f5d967a22a13d3a320eb8c3ee5b1715c2dc797acd6185e94b3c7feedd8fcdf,unchanged
examples/skin_compat_probe.rs,9389,98208f8a8240d7427e94d39cc4b37c6563ce21034a84e9a2f346435354617d7b,unchanged
examples/skin_probe.rs,5026,e93a683fdfec28e131b161d9855eff4c9075e2b9c362f62acfb2307731d20ee5,unchanged
examples/stream_probe.rs,5488,5614b0c053d0155ac4372e320cd4a52f3015d5e16e711503aac59f43a3ec1177,unchanged
